x-axis,1,2,F1
second,Volt,Volt,Volt
+113.90000E-06,+14.74678652293E+00,+14.86758919429E+00,+120.74724568E-03
+113.95000E-06,+14.74516566485E+00,+14.86531202522E+00,+120.09155919E-03
+114.00000E-06,+14.74304147787E+00,+14.86418707205E+00,+121.08955502E-03
+114.05000E-06,+14.74101071826E+00,+14.86205973352E+00,+120.99282480E-03
+114.10000E-06,+14.73925156099E+00,+14.86041633061E+00,+121.10871665E-03
+114.15000E-06,+14.73746663119E+00,+14.85851244966E+00,+120.99057863E-03
+114.20000E-06,+14.73532584219E+00,+14.85685601237E+00,+121.47388916E-03
+114.25000E-06,+14.73329086744E+00,+14.85608942851E+00,+122.74243271E-03
+114.30000E-06,+14.73196026777E+00,+14.85497101892E+00,+122.95400582E-03
+114.35000E-06,+14.72947645494E+00,+14.85337214411E+00,+123.83986923E-03
+114.40000E-06,+14.72782658158E+00,+14.85143554003E+00,+123.55169037E-03
+114.45000E-06,+14.72582592723E+00,+14.84999948038E+00,+124.11732175E-03
+114.50000E-06,+14.72395425308E+00,+14.84824203871E+00,+124.23111263E-03
+114.55000E-06,+14.72226301825E+00,+14.84694329383E+00,+124.62338355E-03
+114.60000E-06,+14.72051731823E+00,+14.84466119578E+00,+124.08683459E-03
+114.65000E-06,+14.71865405778E+00,+14.84376663198E+00,+125.05613847E-03
+114.70000E-06,+14.71666826874E+00,+14.84244323393E+00,+125.71777080E-03
+114.75000E-06,+14.71486894324E+00,+14.84063905182E+00,+125.71224005E-03
+114.80000E-06,+14.71286777406E+00,+14.83892717621E+00,+126.00069419E-03
+114.85000E-06,+14.71131366328E+00,+14.83712385265E+00,+125.75353571E-03
+114.90000E-06,+14.70922180747E+00,+14.83551788325E+00,+126.23909722E-03
+114.95000E-06,+14.70702437183E+00,+14.83424765164E+00,+127.16594515E-03
+115.00000E-06,+14.70567086250E+00,+14.83223354230E+00,+126.50405582E-03
+115.05000E-06,+14.70330368068E+00,+14.83139339997E+00,+128.03116987E-03
+115.10000E-06,+14.70188187579E+00,+14.82966879601E+00,+127.72794577E-03
+115.15000E-06,+14.69991719337E+00,+14.82816629586E+00,+128.19054554E-03
+115.20000E-06,+14.69861124309E+00,+14.82708784344E+00,+128.41811746E-03
+115.25000E-06,+14.69655288154E+00,+14.82573859372E+00,+129.12735223E-03
+115.30000E-06,+14.69479388256E+00,+14.82484856768E+00,+129.99552766E-03
+115.35000E-06,+14.69310528294E+00,+14.82296133173E+00,+129.79778618E-03
+115.40000E-06,+14.69081123596E+00,+14.82058506760E+00,+129.71456450E-03
+115.45000E-06,+14.68972202709E+00,+14.81922008648E+00,+129.43862806E-03
+115.50000E-06,+14.68740068118E+00,+14.81731747566E+00,+129.85718526E-03
+115.55000E-06,+14.68601455424E+00,+14.81621637363E+00,+130.14184914E-03
+115.60000E-06,+14.68390254685E+00,+14.81460642729E+00,+130.64505421E-03
+115.65000E-06,+14.68249567210E+00,+14.81326325078E+00,+130.70738408E-03
+115.70000E-06,+14.68075834281E+00,+14.81202372594E+00,+131.20589384E-03
+115.75000E-06,+14.67892152651E+00,+14.80963184574E+00,+130.64984855E-03
+115.80000E-06,+14.67679631966E+00,+14.80896718812E+00,+132.11125768E-03
+115.85000E-06,+14.67510836529E+00,+14.80781487950E+00,+132.64674233E-03
+115.90000E-06,+14.67372726984E+00,+14.80595067456E+00,+132.16269831E-03
+115.95000E-06,+14.67202995124E+00,+14.80493321960E+00,+132.84316355E-03
+116.00000E-06,+14.67014864980E+00,+14.80343946406E+00,+133.23155855E-03
+116.05000E-06,+14.66876434174E+00,+14.80180909025E+00,+132.98493258E-03
+116.10000E-06,+14.66673452888E+00,+14.80085056664E+00,+134.05528019E-03
+116.15000E-06,+14.66499993884E+00,+14.79857264453E+00,+133.51271167E-03
